entry_index,exit_index,entry_price,exit_price,trade_return,capital_after_trade,relative_profit
0,1,22680.35,22703.41,0.001017,1001.02,0.001017
4,5,22704.57,22707.07,0.00011,1001.13,0.00011
6,12,22687.43,22718.56,0.001372,1002.5,0.001372
18,24,22725.67,22733.9,0.000362,1002.86,0.000362
74,75,22855.8,22872.8,0.000744,1003.61,0.000744
80,81,22835.64,22865.55,0.00131,1004.92,0.00131
87,89,22857.55,22901.26,0.001912,1006.85,0.001912
93,95,22870.21,22869.86,-1.5e-05,1006.83,-1.5e-05
110,111,22910.74,22933.57,0.000996,1007.83,0.000996
114,115,22863.97,22890.44,0.001158,1009.0,0.001158
118,131,22875.04,22821.01,-0.002362,1006.62,-0.002362
132,139,22772.63,22781.05,0.00037,1006.99,0.00037
141,146,22759.76,22847.12,0.003838,1010.85,0.003838
150,155,22622.05,22775.0,0.006761,1017.69,0.006761
157,158,22776.93,22822.19,0.001987,1019.71,0.001987
162,165,22853.0,22864.33,0.000496,1020.22,0.000496
168,171,22860.81,22875.33,0.000635,1020.86,0.000635
179,181,22834.82,22861.37,0.001163,1022.05,0.001163
230,235,22936.2,22930.74,-0.000238,1021.81,-0.000238
236,249,22900.7,22775.14,-0.005483,1016.21,-0.005483
251,253,22765.6,22813.27,0.002094,1018.33,0.002094
305,306,22947.12,22972.89,0.001123,1019.48,0.001123
308,309,22880.92,22927.64,0.002042,1021.56,0.002042
314,324,22891.52,22939.44,0.002093,1023.7,0.002093
325,334,22935.82,22926.93,-0.000388,1023.3,-0.000388
348,351,22953.27,23017.5,0.002798,1026.16,0.002798
355,357,22980.7,22983.75,0.000133,1026.3,0.000133
358,359,22974.81,22971.37,-0.00015,1026.15,-0.00015
360,362,22948.14,22969.19,0.000917,1027.09,0.000917
383,384,23065.0,23088.36,0.001013,1028.13,0.001013
387,388,23049.95,23064.62,0.000636,1028.78,0.000636
390,396,23036.68,23049.86,0.000572,1029.37,0.000572
397,403,23024.75,23056.6,0.001383,1030.8,0.001383
431,435,23065.37,23050.38,-0.00065,1030.13,-0.00065
436,437,23047.32,23059.96,0.000548,1030.69,0.000548
438,439,23054.47,23068.97,0.000629,1031.34,0.000629
440,441,23070.87,23091.41,0.00089,1032.26,0.00089
446,449,23129.72,23102.0,-0.001198,1031.02,-0.001198
469,470,23091.49,23095.63,0.000179,1031.2,0.000179
479,482,23095.97,23091.78,-0.000181,1031.02,-0.000181
484,491,23077.18,23067.47,-0.000421,1030.58,-0.000421
492,499,23059.67,23081.99,0.000968,1031.58,0.000968
500,543,23073.76,22930.99,-0.006188,1025.2,-0.006188
546,570,22916.9,22917.66,3.3e-05,1025.23,3.3e-05
574,580,22892.93,22996.13,0.004508,1029.85,0.004508
583,584,22968.82,22979.77,0.000477,1030.34,0.000477
600,606,22956.13,22856.0,-0.004362,1025.85,-0.004362
608,610,22852.61,22859.93,0.00032,1026.18,0.00032
611,612,22849.28,22889.78,0.001772,1028.0,0.001772
616,624,22886.16,22840.93,-0.001976,1025.97,-0.001976
625,628,22843.16,22919.71,0.003351,1029.4,0.003351
630,635,22859.1,22890.44,0.001371,1030.82,0.001371
636,640,22871.18,22909.91,0.001693,1032.56,0.001693
641,670,22895.86,22875.18,-0.000903,1031.63,-0.000903
671,674,22817.53,22880.75,0.002771,1034.49,0.002771
698,699,22979.47,22998.11,0.000811,1035.33,0.000811
734,735,22970.44,22975.78,0.000232,1035.57,0.000232
736,737,22946.57,22963.92,0.000756,1036.35,0.000756
743,747,22970.36,22952.36,-0.000784,1035.54,-0.000784
752,753,23028.97,23053.46,0.001063,1036.64,0.001063
755,756,22995.87,23013.87,0.000783,1037.45,0.000783
763,823,22993.3,22678.09,-0.013709,1023.23,-0.013709
831,841,22618.85,22446.54,-0.007618,1015.43,-0.007618
842,853,22424.75,22542.89,0.005268,1020.78,0.005268
914,915,22609.14,22615.42,0.000278,1021.07,0.000278
922,923,22669.07,22677.63,0.000378,1021.45,0.000378
926,927,22664.38,22672.23,0.000346,1021.81,0.000346
933,935,22642.71,22646.19,0.000154,1021.96,0.000154
975,981,22696.46,22699.97,0.000155,1022.12,0.000155
982,984,22689.1,22699.88,0.000475,1022.61,0.000475
985,999,22699.17,22639.21,-0.002642,1019.91,-0.002642
1006,1017,22662.56,22574.25,-0.003897,1015.93,-0.003897
1018,1019,22566.86,22590.55,0.00105,1017.0,0.00105
1020,1028,22586.14,22618.71,0.001442,1018.46,0.001442
1030,1045,22611.9,22577.84,-0.001506,1016.93,-0.001506
1049,1051,22591.73,22608.53,0.000744,1017.69,0.000744
